ticker,cluster
A,10
AAL,3
AAP,15
AAPL,11
ABBV,8
ABT,21
ACN,29
ADBE,30
ADI,34
ADM,19
ADP,29
ADSK,30
AEE,2
AEP,2
AES,2
AFL,27
AIG,27
AIV,6
AIZ,26
AJG,13
AKAM,30
ALB,19
ALGN,21
ALK,3
ALL,27
ALLE,37
AMAT,33
AMCR,32
AMD,33
AME,36
AMGN,8
AMP,16
AMT,1
AMZN,11
ANET,30
AON,13
AOS,31
APD,36
APH,34
APTV,37
ARE,6
ATO,2
AVB,6
AVGO,35
AVY,32
AWK,2
AXP,28
AZO,4
BA,38
BAC,9
BALL,32
BAX,19
BBY,24
BDX,21
BEN,16
BF-B,12
BFH,28
BIIB,8
BKNG,5
BKR,14
BLK,16
BMY,8
BR,7
BRK-B,26
BSX,22
BWA,37
BXP,6
C,9
CAG,12
CAH,17
CAT,37
CB,26
CBOE,7
CBRE,13
CCI,1
CCL,5
CDNS,35
CDW,35
CE,25
CF,25
CFG,9
CHD,12
CHRW,0
CHTR,1
CI,18
CINF,26
CL,12
CLX,12
CMCSA,1
CME,7
CMG,12
CMI,37
CMS,2
CNC,18
CNP,2
COF,9
COO,21
COP,19
COR,17
COST,24
COTY,11
CPAY,28
CPB,12
CPRI,23
CPRT,15
CRM,30
CSCO,4
CSX,0
CTAS,32
CTSH,29
CTVA,25
CVS,18
CVX,20
D,2
DAL,3
DD,25
DE,37
DG,24
DGX,17
DHI,6
DHR,10
DIS,19
DLR,30
DLTR,24
DOC,6
DOV,36
DOW,25
DRI,12
DTE,2
DUK,2
DVA,18
DVN,19
DXC,30
EA,11
EBAY,19
ECL,36
ED,2
EFX,29
EG,26
EIX,4
EL,11
ELV,18
EMN,25
EMR,4
EOG,20
EQIX,30
EQR,6
ES,2
ESS,6
ETN,37
ETR,2
EVRG,2
EW,22
EXC,2
EXPD,0
EXPE,5
EXR,6
F,37
FANG,20
FAST,15
FBIN,31
FCX,19
FDX,0
FE,2
FFIV,30
FIS,28
FISV,28
FITB,9
FLS,36
FMC,25
FOX,4
FRT,6
FTI,14
FTNT,30
FTV,10
GAP,23
GD,38
GE,19
GEN,30
GILD,8
GIS,12
GL,27
GLW,19
GM,37
GOOG,30
GPC,15
GPN,28
GRMN,38
GS,16
GWW,15
HAL,14
HAS,11
HBAN,9
HCA,18
HD,15
HIG,27
HII,38
HLT,5
HOG,37
HON,38
HP,14
HPE,30
HPQ,35
HRB,29
HRL,12
HSIC,17
HST,6
HSY,12
HUM,18
HWM,25
IBM,30
ICE,7
IDXX,21
IEX,36
IFF,12
ILMN,10
INCY,8
INTC,19
INTU,29
IP,32
IPGP,33
IQV,17
IR,36
IRM,30
ISRG,22
IT,7
ITW,36
IVZ,16
J,29
JBHT,0
JCI,37
JKHY,28
JNJ,8
JPM,9
KEY,9
KEYS,35
KHC,12
KIM,6
KLAC,33
KMB,32
KMI,20
KMX,15
KO,12
KR,24
KSS,24
L,26
LDOS,38
LEG,31
LEN,6
LH,17
LHX,38
LIN,36
LKQ,15
LLY,8
LMT,38
LNC,27
LNT,2
LOW,15
LRCX,33
LUMN,1
LUV,3
LVS,6
LW,12
LYB,20
LYV,19
M,24
MA,28
MAA,6
MAR,5
MAS,31
MCD,12
MCHP,34
MCK,17
MCO,7
MDLZ,12
MDT,22
MET,27
META,11
MGM,6
MHK,31
MKC,12
MKTX,7
MLM,20
MMM,36
MNST,12
MO,12
MOS,25
MPC,20
MRK,8
MRSH,13
MS,9
MSCI,7
MSFT,4
MSI,33
MTB,9
MTD,10
MU,35
NCLH,5
NDAQ,7
NEE,2
NEM,19
NFLX,11
NI,2
NKE,23
NOC,38
NOV,14
NOW,30
NRG,2
NSC,19
NTAP,30
NTRS,9
NUE,32
NVDA,35
NVR,6
NWS,19
O,6
ODFL,0
OKE,20
OMC,13
ORCL,30
ORLY,15
OXY,20
PAYC,29
PAYX,29
PCAR,37
PEG,2
PEP,12
PFE,8
PFG,16
PG,11
PGR,26
PH,36
PHM,6
PKG,32
PLD,6
PM,12
PNC,9
PNR,36
PNW,2
PPG,32
PPL,2
PRGO,8
PRU,16
PSA,6
PSX,20
PVH,23
PWR,14
PYPL,28
QCOM,34
QRVO,34
RCL,5
REG,6
REGN,8
RF,9
RHI,13
RJF,16
RL,23
RMD,22
ROK,37
ROL,25
ROP,36
ROST,24
RSG,20
RTX,38
SBAC,1
SBUX,12
SCHW,9
SHW,32
SJM,12
SLB,14
SLG,6
SNA,36
SO,2
SPG,6
SPGI,7
SRE,2
STE,21
STT,9
STX,35
STZ,12
SWK,36
SWKS,34
SYF,28
SYK,22
SYY,12
T,1
TAP,12
TDG,38
TEL,37
TFC,9
TFX,22
TGT,24
TJX,24
TMO,10
TMUS,1
TPR,23
TROW,16
TRV,26
TSCO,24
TSN,12
TT,36
TTWO,11
TXN,34
TXT,38
UAA,23
UAL,3
UDR,6
UHS,18
ULTA,24
UNH,4
UNM,27
UNP,0
UPS,0
URI,14
USB,9
V,28
VFC,23
VLO,20
VMC,20
VNO,6
VRSK,13
VRSN,30
VRTX,8
VTR,6
VZ,1
WAB,37
WAT,10
WDC,35
WEC,2
WELL,6
WFC,9
WHR,31
WM,20
WMB,20
WMT,24
WRB,26
WTW,13
WU,28
WY,32
WYNN,5
XEL,2
XOM,20
XRAY,21
XRX,30
XYL,36
YUM,12
ZBH,21
ZBRA,33
ZION,9
ZTS,8
