,ticker,cluster
0,A,19
1,AAPL,-1
2,ABBV,19
3,ABNB,16
4,ABT,19
5,ACGL,9
6,ACN,3
7,ADBE,20
8,ADI,20
9,ADM,2
10,ADP,0
11,ADSK,20
12,AEE,5
13,AEP,5
14,AES,5
15,AFL,1
16,AIG,0
17,AIZ,-1
18,AJG,9
19,AKAM,20
20,ALB,0
21,ALGN,19
22,ALL,1
23,ALLE,0
24,AMAT,20
25,AMCR,3
26,AMD,3
27,AME,20
28,AMGN,2
29,AMP,11
30,AMT,-1
31,AMZN,16
32,ANET,20
33,AON,9
34,AOS,20
35,APA,5
36,APD,-1
37,APH,20
38,APO,0
39,APP,20
40,APTV,0
41,ARE,6
42,ARES,11
43,ATO,5
44,AVB,6
45,AVGO,20
46,AVY,-1
47,AWK,5
48,AXON,0
49,AXP,17
50,AZO,0
51,BA,20
52,BAC,10
53,BALL,-1
54,BAX,0
55,BBY,-1
56,BDX,0
57,BEN,11
58,BF-B,15
59,BG,0
60,BIIB,19
61,BKNG,-1
62,BKR,2
63,BLDR,4
64,BLK,11
65,BMY,0
66,BNY,10
67,BR,11
68,BRK-B,9
69,BRO,3
70,BSX,1
71,BX,1
72,BXP,1
73,C,10
74,CAH,19
75,CARR,20
76,CASY,14
77,CAT,20
78,CB,9
79,CBOE,-1
80,CBRE,1
81,CCI,1
82,CCL,7
83,CDNS,20
84,CDW,-1
85,CEG,5
86,CF,5
87,CFG,10
88,CHD,15
89,CHRW,4
90,CHTR,1
91,CI,18
92,CIEN,20
93,CINF,9
94,CL,15
95,CLX,15
96,CMCSA,0
97,CME,2
98,CMG,-1
99,CMI,20
100,CMS,2
101,CNC,18
102,CNP,5
103,COF,2
104,COHR,1
105,COIN,17
106,COO,19
107,COP,5
108,COR,0
109,COST,3
110,CPAY,17
111,CPRT,16
112,CPT,6
113,CRH,4
114,CRL,2
115,CRM,20
116,CRWD,20
117,CSCO,1
118,CSGP,1
119,CSX,4
120,CTAS,13
121,CTSH,0
122,CTVA,0
123,CVNA,16
124,CVS,18
125,CVX,5
126,D,0
127,DAL,3
128,DASH,16
129,DD,20
130,DDOG,0
131,DE,3
132,DECK,14
133,DELL,20
134,DG,14
135,DGX,1
136,DHI,-1
137,DHR,1
138,DIS,12
139,DLR,8
140,DLTR,0
141,DOC,6
142,DOV,20
143,DOW,2
144,DPZ,14
145,DRI,14
146,DTE,5
147,DUK,5
148,DVA,18
149,DVN,5
150,DXCM,19
151,EA,-1
152,EBAY,16
153,ECHO,0
154,ECL,20
155,ED,5
156,EFX,0
157,EG,9
158,EIX,5
159,EL,2
160,ELV,18
161,EME,1
162,EMR,20
163,EOG,5
164,EQIX,20
165,EQR,6
166,EQT,5
167,ERIE,9
168,ES,5
169,ESS,6
170,ETN,20
171,ETR,5
172,EVRG,0
173,EW,19
174,EXC,0
175,EXE,5
176,EXPD,3
177,EXPE,0
178,EXR,6
179,F,0
180,FANG,5
181,FAST,13
182,FCX,5
183,FDS,2
184,FDX,4
185,FE,5
186,FFIV,20
187,FICO,-1
188,FIS,17
189,FISV,17
190,FITB,10
191,FIX,20
192,FLEX,20
193,FOX,12
194,FOXA,12
195,FRT,6
196,FSLR,20
197,FTNT,20
198,FTV,20
199,GD,20
200,GDDY,20
201,GE,3
202,GEHC,19
203,GEN,20
204,GEV,20
205,GILD,19
206,GIS,15
207,GL,9
208,GLW,20
209,GM,0
210,GNRC,1
211,GOOG,1
212,GOOGL,1
213,GPC,13
214,GPN,17
215,GRMN,-1
216,GS,10
217,GWW,13
218,HAL,-1
219,HAS,2
220,HBAN,1
221,HCA,18
222,HD,14
223,HIG,-1
224,HII,20
225,HLT,7
226,HON,20
227,HOOD,-1
228,HPE,20
229,HPQ,20
230,HRL,15
231,HSIC,1
232,HST,1
233,HSY,15
234,HUBB,20
235,HUM,18
236,HWM,20
237,IBKR,0
238,IBM,20
239,ICE,1
240,IDXX,1
241,IEX,20
242,IFF,15
243,INCY,0
244,INTC,3
245,INTU,20
246,INVH,6
247,IP,-1
248,IQV,19
249,IR,20
250,IRM,8
251,ISRG,19
252,IT,2
253,ITW,2
254,IVZ,1
255,J,20
256,JBHT,4
257,JBL,20
258,JCI,20
259,JKHY,17
260,JNJ,0
261,JPM,10
262,KDP,15
263,KEY,10
264,KEYS,20
265,KHC,15
266,KIM,3
267,KKR,0
268,KLAC,20
269,KMB,15
270,KMI,5
271,KO,0
272,KR,14
273,KVUE,-1
274,L,9
275,LDOS,-1
276,LEN,-1
277,LH,19
278,LHX,1
279,LII,20
280,LIN,-1
281,LITE,20
282,LLY,19
283,LMT,20
284,LNT,5
285,LOW,14
286,LRCX,20
287,LULU,14
288,LUV,4
289,LVS,6
290,LYB,5
291,LYV,2
292,MA,0
293,MAA,6
294,MAR,7
295,MAS,-1
296,MCD,3
297,MCHP,20
298,MCK,1
299,MCO,-1
300,MDLZ,15
301,MDT,0
302,MET,-1
303,META,-1
304,MGM,6
305,MKC,15
306,MLM,4
307,MMM,-1
308,MNST,15
309,MO,1
310,MOS,5
311,MPC,0
312,MPWR,20
313,MRK,19
314,MRNA,19
315,MRSH,9
316,MRVL,20
317,MS,10
318,MSCI,-1
319,MSFT,3
320,MSI,20
321,MTB,10
322,MTD,-1
323,MU,1
324,NCLH,7
325,NDAQ,1
326,NDSN,20
327,NEE,2
328,NEM,5
329,NFLX,-1
330,NI,3
331,NKE,14
332,NOC,20
333,NOW,20
334,NRG,5
335,NSC,4
336,NTAP,0
337,NTRS,-1
338,NUE,4
339,NVDA,20
340,NVR,-1
341,NWS,0
342,NWSA,0
343,NXPI,20
344,O,6
345,ODFL,4
346,OKE,5
347,OMC,-1
348,ON,20
349,ORCL,-1
350,ORLY,-1
351,OTIS,20
352,OXY,5
353,PANW,20
354,PAYX,17
355,PCAR,-1
356,PCG,0
357,PEG,0
358,PEP,1
359,PFE,1
360,PFG,11
361,PG,15
362,PGR,9
