Ticker,Sector,,,
CHTR,Communication Services,,,
CMCSA,Communication Services,,,
DIS,Communication Services,,,
EA,Communication Services,,,
FOX,Communication Services,,,
FOXA,Communication Services,,,
GOOG,Communication Services,,,
GOOGL,Communication Services,,,
LYV,Communication Services,,,
META,Communication Services,,,
MTCH,Communication Services,,,
NFLX,Communication Services,,,
NWS,Communication Services,,,
NWSA,Communication Services,,,
OMC,Communication Services,,,
PSKY,Communication Services,,,
T,Communication Services,,,
TKO,Communication Services,,,
TMUS,Communication Services,,,
TTD,Communication Services,,,
TTWO,Communication Services,,,
VZ,Communication Services,,,
WBD,Communication Services,,,
ABNB,Consumer Discretionary,,,
AMZN,Consumer Discretionary,,,
APTV,Consumer Discretionary,,,
AZO,Consumer Discretionary,,,
BBY,Consumer Discretionary,,,
BKNG,Consumer Discretionary,,,
CCL,Consumer Discretionary,,,
CMG,Consumer Discretionary,,,
CVNA,Consumer Discretionary,,,
DASH,Consumer Discretionary,,,
DECK,Consumer Discretionary,,,
DHI,Consumer Discretionary,,,
DPZ,Consumer Discretionary,,,
DRI,Consumer Discretionary,,,
EBAY,Consumer Discretionary,,,
EXPE,Consumer Discretionary,,,
F,Consumer Discretionary,,,
GM,Consumer Discretionary,,,
GPC,Consumer Discretionary,,,
GRMN,Consumer Discretionary,,,
HAS,Consumer Discretionary,,,
HD,Consumer Discretionary,,,
HLT,Consumer Discretionary,,,
LEN,Consumer Discretionary,,,
LOW,Consumer Discretionary,,,
LULU,Consumer Discretionary,,,
LVS,Consumer Discretionary,,,
MAR,Consumer Discretionary,,,
MCD,Consumer Discretionary,,,
MGM,Consumer Discretionary,,,
NCLH,Consumer Discretionary,,,
NKE,Consumer Discretionary,,,
NVR,Consumer Discretionary,,,
ORLY,Consumer Discretionary,,,
PHM,Consumer Discretionary,,,
POOL,Consumer Discretionary,,,
RCL,Consumer Discretionary,,,
RL,Consumer Discretionary,,,
ROST,Consumer Discretionary,,,
SBUX,Consumer Discretionary,,,
TJX,Consumer Discretionary,,,
TPR,Consumer Discretionary,,,
TSCO,Consumer Discretionary,,,
TSLA,Consumer Discretionary,,,
ULTA,Consumer Discretionary,,,
WSM,Consumer Discretionary,,,
WYNN,Consumer Discretionary,,,
YUM,Consumer Discretionary,,,
ADM,Consumer Staples,,,
BF.B,Consumer Staples,,,
BG,Consumer Staples,,,
CAG,Consumer Staples,,,
CHD,Consumer Staples,,,
CL,Consumer Staples,,,
CLX,Consumer Staples,,,
COST,Consumer Staples,,,
CPB,Consumer Staples,,,
DG,Consumer Staples,,,
DLTR,Consumer Staples,,,
EL,Consumer Staples,,,
GIS,Consumer Staples,,,
HRL,Consumer Staples,,,
HSY,Consumer Staples,,,
KDP,Consumer Staples,,,
KHC,Consumer Staples,,,
KMB,Consumer Staples,,,
KO,Consumer Staples,,,
KR,Consumer Staples,,,
KVUE,Consumer Staples,,,
LW,Consumer Staples,,,
MDLZ,Consumer Staples,,,
MKC,Consumer Staples,,,
MNST,Consumer Staples,,,
MO,Consumer Staples,,,
PEP,Consumer Staples,,,
PG,Consumer Staples,,,
PM,Consumer Staples,,,
SJM,Consumer Staples,,,
STZ,Consumer Staples,,,
SYY,Consumer Staples,,,
TAP,Consumer Staples,,,
TGT,Consumer Staples,,,
TSN,Consumer Staples,,,
WMT,Consumer Staples,,,
APA,Energy,,,
BKR,Energy,,,
COP,Energy,,,
CTRA,Energy,,,
CVX,Energy,,,
DVN,Energy,,,
EOG,Energy,,,
EQT,Energy,,,
EXE,Energy,,,
FANG,Energy,,,
HAL,Energy,,,
KMI,Energy,,,
MPC,Energy,,,
OKE,Energy,,,
OXY,Energy,,,
PSX,Energy,,,
SLB,Energy,,,
TPL,Energy,,,
TRGP,Energy,,,
VLO,Energy,,,
WMB,Energy,,,
XOM,Energy,,,
ACGL,Financials,,,
AFL,Financials,,,
AIG,Financials,,,
AIZ,Financials,,,
AJG,Financials,,,
ALL,Financials,,,
AMP,Financials,,,
AON,Financials,,,
APO,Financials,,,
ARES,Financials,,,
AXP,Financials,,,
BAC,Financials,,,
BEN,Financials,,,
BK,Financials,,,
BLK,Financials,,,
BRK.B,Financials,,,
BRO,Financials,,,
BX,Financials,,,
C,Financials,,,
CB,Financials,,,
CBOE,Financials,,,
CFG,Financials,,,
CINF,Financials,,,
CME,Financials,,,
COF,Financials,,,
COIN,Financials,,,
CPAY,Financials,,,
EG,Financials,,,
ERIE,Financials,,,
FDS,Financials,,,
FIS,Financials,,,
FISV,Financials,,,
FITB,Financials,,,
GL,Financials,,,
GPN,Financials,,,
GS,Financials,,,
HBAN,Financials,,,
HIG,Financials,,,
HOOD,Financials,,,
IBKR,Financials,,,
ICE,Financials,,,
IVZ,Financials,,,
JKHY,Financials,,,
JPM,Financials,,,
KEY,Financials,,,
KKR,Financials,,,
L,Financials,,,
MA,Financials,,,
MCO,Financials,,,
MET,Financials,,,
MRSH,Financials,,,
MS,Financials,,,
MSCI,Financials,,,
MTB,Financials,,,
NDAQ,Financials,,,
NTRS,Financials,,,
PFG,Financials,,,
PGR,Financials,,,
PNC,Financials,,,
PRU,Financials,,,
PYPL,Financials,,,
RF,Financials,,,
RJF,Financials,,,
SCHW,Financials,,,
SPGI,Financials,,,
STT,Financials,,,
SYF,Financials,,,
TFC,Financials,,,
TROW,Financials,,,
TRV,Financials,,,
USB,Financials,,,
V,Financials,,,
WFC,Financials,,,
WRB,Financials,,,
WTW,Financials,,,
XYZ,Financials,,,
A,Health Care,,,
ABBV,Health Care,,,
ABT,Health Care,,,
ALGN,Health Care,,,
AMGN,Health Care,,,
BAX,Health Care,,,
BDX,Health Care,,,
BIIB,Health Care,,,
BMY,Health Care,,,
BSX,Health Care,,,
CAH,Health Care,,,
CI,Health Care,,,
CNC,Health Care,,,
COO,Health Care,,,
COR,Health Care,,,
CRL,Health Care,,,
CVS,Health Care,,,
DGX,Health Care,,,
DHR,Health Care,,,
DVA,Health Care,,,
DXCM,Health Care,,,
ELV,Health Care,,,
EW,Health Care,,,
GEHC,Health Care,,,
GILD,Health Care,,,
HCA,Health Care,,,
HOLX,Health Care,,,
HSIC,Health Care,,,
HUM,Health Care,,,
IDXX,Health Care,,,
INCY,Health Care,,,
IQV,Health Care,,,
ISRG,Health Care,,,
JNJ,Health Care,,,
LH,Health Care,,,
LLY,Health Care,,,
